windspeed,Vestas.V80.2000
10.45,0.637056
10.46,0.637747
10.47,0.638437
10.48,0.639125
10.49,0.640593
10.5,0.640496
10.51,0.641959
10.52,0.641861
10.53,0.643319
10.54,0.64322
10.55,0.644671
10.56,0.644572
10.57,0.645245
10.58,0.645918
10.59,0.646588
10.6,0.648027
10.61,0.647924
10.62,0.64859
10.63,0.649254
10.64,0.650682
10.65,0.651342
10.66,0.651237
10.67,0.652656
10.68,0.652551
10.69,0.653206
10.7,0.653859
10.71,0.655268
10.72,0.65516
10.73,0.655809
10.74,0.657209
10.75,0.657101
10.76,0.657744
10.77,0.658386
10.78,0.659027
10.79,0.659666
10.8,0.660303
10.81,0.660939
10.82,0.662317
10.83,0.662949
10.84,0.662836
10.85,0.663466
10.86,0.664094
10.87,0.66472
10.88,0.665344
10.89,0.665967
10.9,0.667324
10.91,0.667943
10.92,0.66856
10.93,0.668444
10.94,0.66979
10.95,0.669673
10.96,0.670285
10.97,0.670895
10.98,0.67223
10.99,0.672112
11,0.672717
11.01,0.674044
11.02,0.673924
11.03,0.674525
11.04,0.675125
11.05,0.67644
11.06,0.676319
11.07,0.676914
11.08,0.678221
11.09,0.678098
11.1,0.679401
11.11,0.679277
11.12,0.680574
11.13,0.680449
11.14,0.681033
11.15,0.682321
11.16,0.682196
11.17,0.682775
11.18,0.683352
11.19,0.683928
11.2,0.684503
11.21,0.685775
11.22,0.685646
11.23,0.686216
11.24,0.68748
11.25,0.68735
11.26,0.687915
11.27,0.688479
11.28,0.689732
11.29,0.689601
11.3,0.690159
11.31,0.690716
11.32,0.691958
11.33,0.692511
11.34,0.692378
11.35,0.692929
11.36,0.693478
11.37,0.694026
11.38,0.694572
11.39,0.695795
11.4,0.696337
11.41,0.696201
11.42,0.697415
11.43,0.697279
11.44,0.697815
11.45,0.69835
11.46,0.698884
11.47,0.699416
11.48,0.700614
11.49,0.701142
11.5,0.701002
11.51,0.702192
11.52,0.702052
11.53,0.702575
11.54,0.703096
11.55,0.703615
11.56,0.704133
11.57,0.704649
11.58,0.70582
11.59,0.705677
11.6,0.706189
11.61,0.706698
11.62,0.707858
11.63,0.707714
11.64,0.708219
11.65,0.70937
11.66,0.709225
11.67,0.709725
11.68,0.710224
11.69,0.711365
11.7,0.711219
11.71,0.711714
11.72,0.712208
11.73,0.712701
11.74,0.713829
11.75,0.714318
11.76,0.714805
11.77,0.714659
11.78,0.715777
11.79,0.71563
11.8,0.716114
11.81,0.716597
11.82,0.717078
11.83,0.717558
11.84,0.718037
11.85,0.719138
11.86,0.718991
11.87,0.719466
11.88,0.71994
11.89,0.720412
11.9,0.721501
11.91,0.72197
11.92,0.722437
11.93,0.72229
11.94,0.723369
11.95,0.723222
11.96,0.723685
11.97,0.724148
11.98,0.724609
11.99,0.725676
12,0.725528
12.01,0.725986
12.02,0.726443
12.03,0.7275
12.04,0.727352
12.05,0.727805
12.06,0.728256
12.07,0.728707
12.08,0.729752
12.09,0.730199
12.1,0.73005
12.11,0.730496
12.12,0.731531
12.13,0.731383
12.14,0.732414
12.15,0.732266
12.16,0.732705
12.17,0.733729
12.18,0.733581
12.19,0.734016
12.2,0.734451
12.21,0.734884
12.22,0.735316
12.23,0.735748
12.24,0.736754
12.25,0.737182
12.26,0.737608
12.27,0.737459
12.28,0.737885
12.29,0.738308
12.3,0.739301
12.31,0.739152
12.32,0.739572
12.33,0.739992
12.34,0.740409
12.35,0.74139
12.36,0.741241
12.37,0.741656
12.38,0.742069
12.39,0.742481
12.4,0.74345
12.41,0.743301
12.42,0.74371
12.43,0.744117
12.44,0.745076
12.45,0.744928
12.46,0.745332
12.47,0.745734
12.48,0.746684
12.49,0.747083
12.5,0.746934
12.51,0.747332
12.52,0.747729
12.53,0.748667
12.54,0.748519
12.55,0.749452
12.56,0.749304
12.57,0.749695
12.58,0.750085
12.59,0.750473
12.6,0.751395
12.61,0.751247
12.62,0.751632
12.63,0.752016
12.64,0.752399
12.65,0.753308
12.66,0.75316
12.67,0.754066
12.68,0.753918
12.69,0.754295
12.7,0.754671
12.71,0.755046
12.72,0.755419
12.73,0.755791
12.74,0.75668
12.75,0.757049
12.76,0.757417
12.77,0.75727
12.78,0.758149
12.79,0.758002
12.8,0.758366
12.81,0.75873
12.82,0.759092
12.83,0.759959
12.84,0.759812
12.85,0.760676
12.86,0.760529
12.87,0.760885
12.88,0.761241
12.89,0.761595
12.9,0.761948
12.91,0.7623
12.92,0.763147
12.93,0.763
12.94,0.763843
12.95,0.763697
12.96,0.764043
12.97,0.764388
12.98,0.764732
12.99,0.765075
13,0.765417
13.01,0.766243
13.02,0.766097
13.03,0.766919
13.04,0.766773
13.05,0.76711
13.06,0.767445
13.07,0.768257
13.08,0.768588
13.09,0.768919
13.1,0.769249
13.11,0.769104
13.12,0.769432
13.13,0.76976
13.14,0.770086
13.15,0.77088
13.16,0.770735
13.17,0.771524
13.18,0.77138
13.19,0.772164
13.2,0.77202
13.21,0.7728
13.22,0.772657
13.23,0.773432
13.24,0.773745
13.25,0.773602
13.26,0.773915
13.27,0.774227
13.28,0.774538
13.29,0.774848
13.3,0.775157
13.31,0.775464
13.32,0.775771
13.33,0.776523
13.34,0.77638
13.35,0.777128
13.36,0.776986
13.37,0.777729
13.38,0.777587
13.39,0.778326
13.4,0.778622
13.41,0.778481
13.42,0.778776
13.43,0.77907
13.44,0.779364
13.45,0.779656
13.46,0.779948
13.47,0.780238
13.48,0.780527
13.49,0.780815
13.5,0.781102
13.51,0.781388
13.52,0.781673
13.53,0.781957
13.54,0.78224
